Round,Agent,Route,Payoff,Regret
1,0,O-R-D,60,70
2,0,O-L-D,20,150
3,0,O-R-D,50,90
4,0,O-R-D,140,0
5,0,O-L-D,140,0
6,0,O-R-D,130,0
7,0,O-R-D,70,50
8,0,O-L-D,80,30
9,0,O-R-D,80,30
10,0,O-R-D,120,0
11,0,O-L-D,100,0
12,0,O-R-D,120,0
13,0,O-L-D,120,0
14,0,O-L-D,90,10
15,0,O-L-D,90,10
16,0,O-R-D,70,50
17,0,O-L-D,110,0
18,0,O-R-D,120,0
19,0,O-L-D,130,0
20,0,O-L-D,80,30
21,0,O-L-D,110,0
22,0,O-R-D,90,10
23,0,O-L-D,90,10
24,0,O-R-D,110,0
25,0,O-L-D,90,10
26,0,O-R-D,90,10
27,0,O-L-D,80,30
28,0,O-R-D,70,50
29,0,O-L-D,100,0
30,0,O-L-D,80,30
31,0,O-L-D,120,0
32,0,O-R-D,80,30
33,0,O-L-D,110,0
34,0,O-R-D,100,0
35,0,O-R-D,100,0
36,0,O-R-D,60,70
37,0,O-L-D,30,130
38,0,O-R-D,40,110
39,0,O-L-D,70,50
40,0,O-L-D,40,110
1,1,O-R-D,60,70
2,1,O-L-D,20,150
3,1,O-R-D,50,90
4,1,O-L-D,60,70
5,1,O-L-D,140,0
6,1,O-R-D,130,0
7,1,O-L-D,130,0
8,1,O-L-D,80,30
9,1,O-R-D,80,30
10,1,O-R-D,120,0
11,1,O-L-D,100,0
12,1,O-L-D,80,30
13,1,O-R-D,80,30
14,1,O-R-D,110,0
15,1,O-L-D,90,10
16,1,O-R-D,70,50
17,1,O-L-D,110,0
18,1,O-R-D,120,0
19,1,O-R-D,70,50
20,1,O-L-D,80,30
21,1,O-L-D,110,0
22,1,O-L-D,110,0
23,1,O-R-D,110,0
24,1,O-R-D,110,0
25,1,O-R-D,110,0
26,1,O-R-D,90,10
27,1,O-L-D,80,30
28,1,O-L-D,130,0
29,1,O-L-D,100,0
30,1,O-L-D,80,30
31,1,O-R-D,80,30
32,1,O-L-D,120,0
33,1,O-R-D,90,10
34,1,O-L-D,100,0
35,1,O-R-D,100,0
36,1,O-R-D,60,70
37,1,O-L-D,30,130
38,1,O-R-D,40,110
39,1,O-R-D,130,0
40,1,O-L-D,40,110
1,2,O-R-D,60,70
2,2,O-L-D,20,150
3,2,O-L-D,150,0
4,2,O-L-D,60,70
5,2,O-R-D,60,70
6,2,O-L-D,70,50
7,2,O-R-D,70,50
8,2,O-L-D,80,30
9,2,O-R-D,80,30
10,2,O-L-D,80,30
11,2,O-L-D,100,0
12,2,O-R-D,120,0
13,2,O-R-D,80,30
14,2,O-L-D,90,10
15,2,O-R-D,110,0
16,2,O-L-D,130,0
17,2,O-R-D,90,10
18,2,O-L-D,80,30
19,2,O-R-D,70,50
20,2,O-L-D,80,30
21,2,O-R-D,90,10
22,2,O-L-D,110,0
23,2,O-R-D,110,0
24,2,O-L-D,90,10
25,2,O-L-D,90,10
26,2,O-R-D,90,10
27,2,O-L-D,80,30
28,2,O-R-D,70,50
29,2,O-R-D,100,0
30,2,O-L-D,80,30
31,2,O-R-D,80,30
32,2,O-R-D,80,30
33,2,O-R-D,90,10
34,2,O-L-D,100,0
35,2,O-L-D,100,0
36,2,O-R-D,60,70
37,2,O-L-D,30,130
38,2,O-R-D,40,110
39,2,O-R-D,130,0
40,2,O-L-D,40,110
1,3,O-L-D,140,0
2,3,O-L-D,20,150
3,3,O-R-D,50,90
4,3,O-R-D,140,0
5,3,O-R-D,60,70
6,3,O-L-D,70,50
7,3,O-R-D,70,50
8,3,O-R-D,120,0
9,3,O-L-D,120,0
10,3,O-R-D,120,0
11,3,O-R-D,100,0
12,3,O-L-D,80,30
13,3,O-R-D,80,30
14,3,O-R-D,110,0
15,3,O-L-D,90,10
16,3,O-L-D,130,0
17,3,O-R-D,90,10
18,3,O-L-D,80,30
19,3,O-L-D,130,0
20,3,O-R-D,120,0
21,3,O-L-D,110,0
22,3,O-R-D,90,10
23,3,O-L-D,90,10
24,3,O-L-D,90,10
25,3,O-R-D,110,0
26,3,O-R-D,90,10
27,3,O-R-D,120,0
28,3,O-R-D,70,50
29,3,O-L-D,100,0
30,3,O-R-D,120,0
31,3,O-L-D,120,0
32,3,O-R-D,80,30
33,3,O-R-D,90,10
34,3,O-R-D,100,0
35,3,O-R-D,100,0
36,3,O-R-D,60,70
37,3,O-L-D,30,130
38,3,O-L-D,160,0
39,3,O-L-D,70,50
40,3,O-L-D,40,110
1,4,O-R-D,60,70
2,4,O-L-D,20,150
3,4,O-R-D,50,90
4,4,O-L-D,60,70
5,4,O-L-D,140,0
6,4,O-L-D,70,50
7,4,O-R-D,70,50
8,4,O-L-D,80,30
9,4,O-R-D,80,30
10,4,O-L-D,80,30
11,4,O-R-D,100,0
12,4,O-L-D,80,30
13,4,O-R-D,80,30
14,4,O-L-D,90,10
15,4,O-L-D,90,10
16,4,O-L-D,130,0
17,4,O-R-D,90,10
18,4,O-L-D,80,30
19,4,O-R-D,70,50
20,4,O-R-D,120,0
21,4,O-L-D,110,0
22,4,O-L-D,110,0
23,4,O-R-D,110,0
24,4,O-L-D,90,10
25,4,O-L-D,90,10
26,4,O-L-D,110,0
27,4,O-L-D,80,30
28,4,O-R-D,70,50
29,4,O-L-D,100,0
30,4,O-L-D,80,30
31,4,O-R-D,80,30
32,4,O-R-D,80,30
33,4,O-L-D,110,0
34,4,O-R-D,100,0
35,4,O-R-D,100,0
36,4,O-L-D,140,0
37,4,O-L-D,30,130
38,4,O-R-D,40,110
39,4,O-L-D,70,50
40,4,O-L-D,40,110
1,5,O-R-D,60,70
2,5,O-L-D,20,150
3,5,O-L-D,150,0
4,5,O-L-D,60,70
5,5,O-R-D,60,70
6,5,O-L-D,70,50
7,5,O-R-D,70,50
8,5,O-R-D,120,0
9,5,O-L-D,120,0
10,5,O-L-D,80,30
11,5,O-L-D,100,0
12,5,O-R-D,120,0
13,5,O-R-D,80,30
14,5,O-R-D,110,0
15,5,O-R-D,110,0
16,5,O-R-D,70,50
17,5,O-R-D,90,10
18,5,O-R-D,120,0
19,5,O-L-D,130,0
20,5,O-L-D,80,30
21,5,O-R-D,90,10
22,5,O-L-D,110,0
23,5,O-R-D,110,0
24,5,O-L-D,90,10
25,5,O-R-D,110,0
26,5,O-L-D,110,0
27,5,O-R-D,120,0
28,5,O-R-D,70,50
29,5,O-R-D,100,0
30,5,O-R-D,120,0
31,5,O-L-D,120,0
32,5,O-L-D,120,0
33,5,O-R-D,90,10
34,5,O-L-D,100,0
35,5,O-L-D,100,0
36,5,O-R-D,60,70
37,5,O-R-D,170,0
38,5,O-R-D,40,110
39,5,O-L-D,70,50
40,5,O-R-D,160,0
1,6,O-R-D,60,70
2,6,O-R-D,180,0
3,6,O-R-D,50,90
4,6,O-L-D,60,70
5,6,O-R-D,60,70
6,6,O-L-D,70,50
7,6,O-R-D,70,50
8,6,O-L-D,80,30
9,6,O-L-D,120,0
10,6,O-L-D,80,30
11,6,O-L-D,100,0
12,6,O-R-D,120,0
13,6,O-L-D,120,0
14,6,O-L-D,90,10
15,6,O-L-D,90,10
16,6,O-L-D,130,0
17,6,O-L-D,110,0
18,6,O-L-D,80,30
19,6,O-L-D,130,0
20,6,O-R-D,120,0
21,6,O-L-D,110,0
22,6,O-R-D,90,10
23,6,O-L-D,90,10
24,6,O-L-D,90,10
25,6,O-R-D,110,0
26,6,O-L-D,110,0
27,6,O-R-D,120,0
28,6,O-L-D,130,0
29,6,O-R-D,100,0
30,6,O-L-D,80,30
31,6,O-R-D,80,30
32,6,O-L-D,120,0
33,6,O-L-D,110,0
34,6,O-L-D,100,0
35,6,O-L-D,100,0
36,6,O-L-D,140,0
37,6,O-L-D,30,130
38,6,O-R-D,40,110
39,6,O-L-D,70,50
40,6,O-L-D,40,110
1,7,O-L-D,140,0
2,7,O-L-D,20,150
3,7,O-R-D,50,90
4,7,O-L-D,60,70
5,7,O-R-D,60,70
6,7,O-R-D,130,0
7,7,O-R-D,70,50
8,7,O-R-D,120,0
9,7,O-R-D,80,30
10,7,O-L-D,80,30
11,7,O-R-D,100,0
12,7,O-L-D,80,30
13,7,O-L-D,120,0
14,7,O-R-D,110,0
15,7,O-L-D,90,10
16,7,O-R-D,70,50
17,7,O-R-D,90,10
18,7,O-L-D,80,30
19,7,O-R-D,70,50
20,7,O-R-D,120,0
21,7,O-R-D,90,10
22,7,O-R-D,90,10
23,7,O-L-D,90,10
24,7,O-L-D,90,10
25,7,O-R-D,110,0
26,7,O-R-D,90,10
27,7,O-L-D,80,30
28,7,O-R-D,70,50
29,7,O-L-D,100,0
30,7,O-L-D,80,30
31,7,O-R-D,80,30
32,7,O-L-D,120,0
33,7,O-R-D,90,10
34,7,O-L-D,100,0
35,7,O-R-D,100,0
36,7,O-R-D,60,70
37,7,O-L-D,30,130
38,7,O-R-D,40,110
39,7,O-L-D,70,50
40,7,O-L-D,40,110
1,8,O-R-D,60,70
2,8,O-L-D,20,150
3,8,O-R-D,50,90
4,8,O-L-D,60,70
5,8,O-R-D,60,70
6,8,O-L-D,70,50
7,8,O-R-D,70,50
8,8,O-L-D,80,30
9,8,O-R-D,80,30
10,8,O-R-D,120,0
11,8,O-R-D,100,0
12,8,O-L-D,80,30
13,8,O-L-D,120,0
14,8,O-L-D,90,10
15,8,O-R-D,110,0
16,8,O-R-D,70,50
17,8,O-R-D,90,10
18,8,O-R-D,120,0
19,8,O-R-D,70,50
20,8,O-L-D,80,30
21,8,O-R-D,90,10
22,8,O-L-D,110,0
23,8,O-L-D,90,10
24,8,O-R-D,110,0
25,8,O-L-D,90,10
26,8,O-L-D,110,0
27,8,O-L-D,80,30
28,8,O-R-D,70,50
29,8,O-L-D,100,0
30,8,O-L-D,80,30
31,8,O-L-D,120,0
32,8,O-R-D,80,30
33,8,O-R-D,90,10
34,8,O-R-D,100,0
35,8,O-L-D,100,0
36,8,O-R-D,60,70
37,8,O-L-D,30,130
38,8,O-L-D,160,0
39,8,O-R-D,130,0
40,8,O-L-D,40,110
1,9,O-R-D,60,70
2,9,O-L-D,20,150
3,9,O-R-D,50,90
4,9,O-L-D,60,70
5,9,O-R-D,60,70
6,9,O-L-D,70,50
7,9,O-L-D,130,0
8,9,O-R-D,120,0
9,9,O-R-D,80,30
10,9,O-L-D,80,30
11,9,O-R-D,100,0
12,9,O-L-D,80,30
13,9,O-L-D,120,0
14,9,O-R-D,110,0
15,9,O-L-D,90,10
16,9,O-R-D,70,50
17,9,O-R-D,90,10
18,9,O-L-D,80,30
19,9,O-R-D,70,50
20,9,O-L-D,80,30
21,9,O-L-D,110,0
22,9,O-R-D,90,10
23,9,O-L-D,90,10
24,9,O-L-D,90,10
25,9,O-R-D,110,0
26,9,O-L-D,110,0
27,9,O-L-D,80,30
28,9,O-L-D,130,0
29,9,O-R-D,100,0
30,9,O-L-D,80,30
31,9,O-R-D,80,30
32,9,O-L-D,120,0
33,9,O-L-D,110,0
34,9,O-L-D,100,0
35,9,O-R-D,100,0
36,9,O-R-D,60,70
37,9,O-L-D,30,130
38,9,O-R-D,40,110
39,9,O-R-D,130,0
40,9,O-R-D,160,0
1,10,O-R-D,60,70
2,10,O-L-D,20,150
3,10,O-R-D,50,90
4,10,O-L-D,60,70
5,10,O-L-D,140,0
6,10,O-L-D,70,50
7,10,O-L-D,130,0
8,10,O-L-D,80,30
9,10,O-L-D,120,0
10,10,O-R-D,120,0
11,10,O-R-D,100,0
12,10,O-R-D,120,0
13,10,O-L-D,120,0
14,10,O-R-D,110,0
15,10,O-L-D,90,10
16,10,O-L-D,130,0
17,10,O-R-D,90,10
18,10,O-L-D,80,30
19,10,O-R-D,70,50
20,10,O-L-D,80,30
21,10,O-R-D,90,10
22,10,O-R-D,90,10
23,10,O-L-D,90,10
24,10,O-R-D,110,0
25,10,O-L-D,90,10
26,10,O-R-D,90,10
27,10,O-R-D,120,0
28,10,O-R-D,70,50
29,10,O-L-D,100,0
30,10,O-R-D,120,0
31,10,O-L-D,120,0
32,10,O-R-D,80,30
33,10,O-L-D,110,0
