Round,Agent,Route,Cost,Regret
1,0,O-R-D,320,30
1,1,O-R-D,320,30
1,2,O-L-D,280,0
1,3,O-R-D,320,30
1,4,O-R-D,320,30
1,5,O-R-D,320,30
1,6,O-R-D,320,30
1,7,O-L-D,280,0
1,8,O-L-D,280,0
1,9,O-R-D,320,30
1,10,O-L-D,280,0
1,11,O-L-D,280,0
1,12,O-R-D,320,30
1,13,O-L-D,280,0
1,14,O-R-D,320,30
1,15,O-L-D,280,0
1,16,O-R-D,320,30
1,17,O-R-D,320,30
2,0,O-L-D,380,150
2,1,O-L-D,380,150
2,2,O-R-D,220,0
2,3,O-L-D,380,150
2,4,O-L-D,380,150
2,5,O-L-D,380,150
2,6,O-L-D,380,150
2,7,O-L-D,380,150
2,8,O-L-D,380,150
2,9,O-L-D,380,150
2,10,O-L-D,380,150
2,11,O-L-D,380,150
2,12,O-L-D,380,150
2,13,O-L-D,380,150
2,14,O-L-D,380,150
2,15,O-L-D,380,150
2,16,O-L-D,380,150
2,17,O-L-D,380,150
3,0,O-R-D,390,170
3,1,O-R-D,390,170
3,2,O-R-D,390,170
3,3,O-R-D,390,170
3,4,O-R-D,390,170
3,5,O-R-D,390,170
3,6,O-R-D,390,170
3,7,O-R-D,390,170
3,8,O-R-D,390,170
3,9,O-R-D,390,170
3,10,O-R-D,390,170
3,11,O-R-D,390,170
3,12,O-R-D,390,170
3,13,O-R-D,390,170
3,14,O-R-D,390,170
3,15,O-R-D,390,170
3,16,O-R-D,390,170
3,17,O-R-D,390,170
4,0,O-L-D,360,110
4,1,O-L-D,360,110
4,2,O-L-D,360,110
4,3,O-L-D,360,110
4,4,O-R-D,240,0
4,5,O-L-D,360,110
4,6,O-L-D,360,110
4,7,O-L-D,360,110
4,8,O-R-D,240,0
4,9,O-L-D,360,110
4,10,O-L-D,360,110
4,11,O-L-D,360,110
4,12,O-L-D,360,110
4,13,O-L-D,360,110
4,14,O-L-D,360,110
4,15,O-R-D,240,0
4,16,O-L-D,360,110
4,17,O-L-D,360,110
5,0,O-R-D,350,90
5,1,O-L-D,250,0
5,2,O-R-D,350,90
5,3,O-R-D,350,90
5,4,O-R-D,350,90
5,5,O-R-D,350,90
5,6,O-R-D,350,90
5,7,O-L-D,250,0
5,8,O-L-D,250,0
5,9,O-R-D,350,90
5,10,O-R-D,350,90
5,11,O-R-D,350,90
5,12,O-R-D,350,90
5,13,O-L-D,250,0
5,14,O-R-D,350,90
5,15,O-R-D,350,90
5,16,O-R-D,350,90
5,17,O-R-D,350,90
6,0,O-L-D,360,110
6,1,O-L-D,360,110
6,2,O-L-D,360,110
6,3,O-L-D,360,110
6,4,O-L-D,360,110
6,5,O-L-D,360,110
6,6,O-L-D,360,110
