Round,Agent,Route,Cost,Regret
1,0,O-L-R-D,290,0
1,1,O-L-R-D,290,0
1,2,O-L-D,350,50
1,3,O-L-R-D,290,0
1,4,O-L-R-D,290,0
1,5,O-L-R-D,290,0
1,6,O-R-D,360,60
1,7,O-R-D,360,60
1,8,O-L-R-D,290,0
1,9,O-L-D,350,50
1,10,O-L-D,350,50
1,11,O-L-R-D,290,0
1,12,O-L-R-D,290,0
1,13,O-L-R-D,290,0
1,14,O-L-R-D,290,0
1,15,O-R-D,360,60
1,16,O-R-D,360,60
1,17,O-L-R-D,290,0
2,0,O-L-D,380,90
2,1,O-L-D,380,90
2,2,O-L-R-D,280,0
2,3,O-L-R-D,280,0
2,4,O-R-D,320,30
2,5,O-L-R-D,280,0
2,6,O-L-D,380,90
2,7,O-L-R-D,280,0
2,8,O-L-R-D,280,0
2,9,O-L-R-D,280,0
2,10,O-L-D,380,90
2,11,O-L-R-D,280,0
2,12,O-L-R-D,280,0
2,13,O-L-R-D,280,0
2,14,O-L-D,380,90
2,15,O-L-D,380,90
2,16,O-L-R-D,280,0
2,17,O-L-D,380,90
3,0,O-R-D,380,110
3,1,O-R-D,380,110
3,2,O-L-R-D,260,0
3,3,O-R-D,380,110
3,4,O-L-R-D,260,0
3,5,O-R-D,380,110
3,6,O-R-D,380,110
3,7,O-L-R-D,260,0
3,8,O-L-R-D,260,0
3,9,O-L-R-D,260,0
3,10,O-R-D,380,110
3,11,O-L-R-D,260,0
3,12,O-L-R-D,260,0
3,13,O-R-D,380,110
3,14,O-R-D,380,110
3,15,O-L-R-D,260,0
3,16,O-L-D,300,30
3,17,O-R-D,380,110
4,0,O-L-R-D,350,0
4,1,O-L-R-D,350,0
4,2,O-L-R-D,350,0
4,3,O-L-R-D,350,0
4,4,O-L-R-D,350,0
4,5,O-L-R-D,350,0
4,6,O-L-R-D,350,0
4,7,O-L-R-D,350,0
4,8,O-L-D,390,30
4,9,O-L-R-D,350,0
4,10,O-L-R-D,350,0
4,11,O-L-R-D,350,0
4,12,O-L-R-D,350,0
4,13,O-L-R-D,350,0
4,14,O-L-R-D,350,0
4,15,O-L-R-D,350,0
4,16,O-L-R-D,350,0
4,17,O-L-R-D,350,0
5,0,O-R-D,340,130
5,1,O-R-D,340,130
5,2,O-R-D,340,130
5,3,O-L-D,280,70
5,4,O-L-D,280,70
5,5,O-L-D,280,70
5,6,O-R-D,340,130
5,7,O-R-D,340,130
5,8,O-L-R-D,200,0
5,9,O-R-D,340,130
5,10,O-L-R-D,200,0
5,11,O-R-D,340,130
5,12,O-R-D,340,130
5,13,O-L-D,280,70
5,14,O-R-D,340,130
5,15,O-R-D,340,130
5,16,O-L-D,280,70
5,17,O-R-D,340,130
6,0,O-L-D,360,110
6,1,O-L-R-D,240,0
6,2,O-L-R-D,240,0
6,3,O-L-D,360,110
6,4,O-L-D,360,110
6,5,O-L-D,360,110
6,6,O-L-R-D,240,0
6,7,O-L-D,360,110
6,8,O-L-R-D,240,0
6,9,O-L-D,360,110
6,10,O-L-R-D,240,0
6,11,O-L-D,360,110
6,12,O-R-D,300,50
6,13,O-L-D,360,110
6,14,O-R-D,300,50
6,15,O-L-R-D,240,0
6,16,O-L-D,360,110
6,17,O-R-D,300,50
7,0,O-R-D,350,100
7,1,O-L-R-D,240,0
7,2,O-L-R-D,240,0
7,3,O-R-D,350,100
7,4,O-R-D,350,100
7,5,O-L-D,310,60
7,6,O-L-D,310,60
7,7,O-L-D,310,60
7,8,O-L-R-D,240,0
7,9,O-L-R-D,240,0
7,10,O-L-R-D,240,0
7,11,O-R-D,350,100
7,12,O-R-D,350,100
7,13,O-L-D,310,60
7,14,O-R-D,350,100
7,15,O-R-D,350,100
7,16,O-L-R-D,240,0
7,17,O-R-D,350,100
8,0,O-R-D,360,80
8,1,O-R-D,360,80
8,2,O-L-R-D,270,0
8,3,O-R-D,360,80
8,4,O-L-R-D,270,0
8,5,O-L-D,330,50
8,6,O-L-R-D,270,0
8,7,O-L-R-D,270,0
8,8,O-L-R-D,270,0
8,9,O-L-R-D,270,0
8,10,O-L-R-D,270,0
8,11,O-L-D,330,50
8,12,O-L-D,330,50
8,13,O-R-D,360,80
8,14,O-R-D,360,80
8,15,O-L-R-D,270,0
8,16,O-L-R-D,270,0
8,17,O-R-D,360,80
9,0,O-R-D,340,50
9,1,O-L-R-D,280,0
9,2,O-L-R-D,280,0
9,3,O-L-D,360,70
9,4,O-L-R-D,280,0
9,5,O-L-D,360,70
9,6,O-R-D,340,50
9,7,O-L-R-D,280,0
9,8,O-L-R-D,280,0
9,9,O-L-R-D,280,0
9,10,O-L-R-D,280,0
9,11,O-L-D,360,70
9,12,O-L-D,360,70
9,13,O-L-D,360,70
9,14,O-L-R-D,280,0
9,15,O-L-R-D,280,0
9,16,O-L-R-D,280,0
9,17,O-R-D,340,50
10,0,O-R-D,350,60
10,1,O-R-D,350,60
10,2,O-L-R-D,280,0
10,3,O-L-D,350,60
10,4,O-L-R-D,280,0
10,5,O-L-D,350,60
10,6,O-L-R-D,280,0
10,7,O-L-R-D,280,0
10,8,O-R-D,350,60
10,9,O-L-R-D,280,0
10,10,O-L-R-D,280,0
10,11,O-L-D,350,60
10,12,O-L-R-D,280,0
10,13,O-L-D,350,60
10,14,O-L-R-D,280,0
10,15,O-L-R-D,280,0
10,16,O-L-R-D,280,0
10,17,O-R-D,350,60
11,0,O-L-R-D,310,0
11,1,O-L-R-D,310,0
11,2,O-L-R-D,310,0
11,3,O-L-D,370,50
11,4,O-R-D,360,40
11,5,O-L-D,370,50
11,6,O-L-R-D,310,0
11,7,O-L-R-D,310,0
11,8,O-L-R-D,310,0
11,9,O-L-R-D,310,0
11,10,O-L-R-D,310,0
11,11,O-L-R-D,310,0
11,12,O-L-R-D,310,0
11,13,O-L-D,370,50
11,14,O-L-R-D,310,0
11,15,O-L-R-D,310,0
11,16,O-L-R-D,310,0
11,17,O-R-D,360,40
12,0,O-L-R-D,260,0
12,1,O-L-D,330,60
12,2,O-L-R-D,260,0
12,3,O-R-D,350,80
12,4,O-L-D,330,60
12,5,O-L-D,330,60
12,6,O-L-R-D,260,0
12,7,O-L-R-D,260,0
12,8,O-L-R-D,260,0
12,9,O-L-R-D,260,0
12,10,O-R-D,350,80
12,11,O-R-D,350,80
12,12,O-L-R-D,260,0
12,13,O-L-D,330,60
12,14,O-R-D,350,80
12,15,O-R-D,350,80
12,16,O-L-R-D,260,0
12,17,O-R-D,350,80
13,0,O-L-R-D,310,0
13,1,O-L-R-D,310,0
13,2,O-L-R-D,310,0
13,3,O-L-D,360,40
13,4,O-L-R-D,310,0
13,5,O-R-D,370,50
13,6,O-L-R-D,310,0
13,7,O-L-R-D,310,0
13,8,O-L-R-D,310,0
13,9,O-L-R-D,310,0
13,10,O-L-R-D,310,0
13,11,O-L-R-D,310,0
13,12,O-L-R-D,310,0
13,13,O-L-D,360,40
13,14,O-L-R-D,310,0
13,15,O-R-D,370,50
13,16,O-L-R-D,310,0
13,17,O-R-D,370,50
14,0,O-L-R-D,270,0
14,1,O-L-D,350,70
14,2,O-L-R-D,270,0
14,3,O-L-D,350,70
14,4,O-R-D,340,60
