Round,Agent,Route,Cost,Regret
1,0,O-R-D,330,100
1,1,O-R-D,330,100
1,2,O-R-D,330,100
1,3,O-L-D,310,80
1,4,O-L-R-D,220,0
1,5,O-L-D,310,80
1,6,O-R-D,330,100
1,7,O-L-R-D,220,0
1,8,O-L-D,310,80
1,9,O-L-D,310,80
1,10,O-L-D,310,80
1,11,O-R-D,330,100
1,12,O-R-D,330,100
1,13,O-R-D,330,100
1,14,O-R-D,330,100
1,15,O-L-R-D,220,0
1,16,O-L-R-D,220,0
1,17,O-L-D,310,80
2,0,O-L-R-D,360,0
2,1,O-L-R-D,360,0
2,2,O-L-R-D,360,0
2,3,O-L-R-D,360,0
2,4,O-L-R-D,360,0
2,5,O-L-R-D,360,0
2,6,O-L-R-D,360,0
2,7,O-L-R-D,360,0
2,8,O-L-R-D,360,0
2,9,O-L-R-D,360,0
2,10,O-L-R-D,360,0
2,11,O-L-R-D,360,0
2,12,O-L-R-D,360,0
2,13,O-L-R-D,360,0
2,14,O-L-R-D,360,0
2,15,O-L-R-D,360,0
2,16,O-L-R-D,360,0
2,17,O-L-R-D,360,0
3,0,O-L-D,280,90
3,1,O-R-D,320,130
3,2,O-L-D,280,90
3,3,O-R-D,320,130
3,4,O-L-D,280,90
3,5,O-L-D,280,90
3,6,O-R-D,320,130
3,7,O-R-D,320,130
3,8,O-R-D,320,130
3,9,O-R-D,320,130
3,10,O-R-D,320,130
3,11,O-R-D,320,130
3,12,O-L-D,280,90
3,13,O-R-D,320,130
3,14,O-L-D,280,90
3,15,O-L-D,280,90
3,16,O-R-D,320,130
3,17,O-R-D,320,130
4,0,O-L-D,300,110
4,1,O-R-D,300,110
4,2,O-L-D,300,110
4,3,O-L-D,300,110
4,4,O-R-D,300,110
4,5,O-R-D,300,110
4,6,O-L-D,300,110
4,7,O-R-D,300,110
4,8,O-R-D,300,110
4,9,O-R-D,300,110
4,10,O-R-D,300,110
4,11,O-R-D,300,110
4,12,O-L-D,300,110
4,13,O-L-D,300,110
4,14,O-L-D,300,110
4,15,O-R-D,300,110
4,16,O-L-D,300,110
4,17,O-L-D,300,110
5,0,O-L-R-D,210,0
5,1,O-R-D,320,100
5,2,O-L-D,310,90
5,3,O-L-D,310,90
5,4,O-L-R-D,210,0
5,5,O-R-D,320,100
5,6,O-L-D,310,90
5,7,O-L-D,310,90
5,8,O-R-D,320,100
5,9,O-R-D,320,100
5,10,O-R-D,320,100
5,11,O-R-D,320,100
5,12,O-L-R-D,210,0
5,13,O-L-D,310,90
5,14,O-L-D,310,90
